student_id,branch,python_skill,dsa_skill,ml_skill,web_dev_skill,coding_score,communication_score,aptitude_score,internships,projects,backlogs,resume_score,skill_score,placed,company_type,job_role,Salary_PHP_Per_Month,Program_IT,Program_CS,Program_IS,Program_CPE,JobRole_Software_Engineer,JobRole_Data_Scientist,JobRole_Web_Developer,JobRole_Analyst,Company_MNC,Company_Mid-size,Company_Startup,Company_Top_Tech,GWA
S0,IT,1.0,1.0,0.0,0.0,0.156,0.0499999999999999,0.8666666666666666,0.3333333333333333,0.4000000000000001,0.0,0.3987889273356402,0.5,1.0,MNC,Software Engineer,0.490998993248233,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.5
S1,IS,1.0,0.0,0.0,1.0,0.139,0.2999999999999999,0.3666666666666666,0.3333333333333333,1.0000000000000002,0.0,0.527681660899654,0.5,1.0,MNC,Data Scientist,0.5807772614057608,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.78
S2,IS,1.0,1.0,1.0,0.0,0.098,0.6833333333333332,0.44,0.0,0.8,0.3333333333333333,0.5147058823529412,0.75,1.0,MNC,Software Engineer,0.6214942422469784,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.74
S3,CS,1.0,0.0,1.0,0.0,0.395,0.9333333333333332,0.7266666666666667,0.0,1.0000000000000002,0.0,0.5,0.5,1.0,MNC,Software Engineer,0.5571351381413344,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.17
S4,IT,0.0,1.0,0.0,1.0,0.075,0.9833333333333332,0.7716666666666666,0.0,0.4000000000000001,0.0,0.4351211072664359,0.5,1.0,Mid-size,Software Engineer,0.518040642117577,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.58
S5,IS,1.0,0.0,0.0,0.0,0.669,0.6666666666666666,0.5916666666666667,0.0,0.4000000000000001,0.0,0.2482698961937716,0.25,1.0,Startup,Data Scientist,0.3766514735754195,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.34
S6,IT,1.0,1.0,0.0,0.0,0.108,0.0333333333333333,0.6366666666666668,0.0,0.6000000000000001,0.6666666666666666,0.2906574394463668,0.5,0.0,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.92
S7,CPE,0.0,0.0,0.0,0.0,0.93,0.8000000000000002,0.6333333333333334,0.6666666666666666,0.6000000000000001,0.0,0.4247404844290657,0.0,1.0,Startup,Data Scientist,0.3334621092180853,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.98
S8,IS,1.0,0.0,0.0,0.0,0.353,0.2999999999999999,0.165,0.3333333333333333,1.0000000000000002,0.0,0.4074394463667821,0.25,1.0,Startup,Web Developer,0.3656030257378934,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.58
S9,CPE,1.0,0.0,1.0,1.0,0.252,0.4999999999999999,0.3016666666666667,0.0,0.0,0.0,0.3832179930795848,0.75,1.0,MNC,Analyst,0.5656339313967161,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.93
S10,CS,1.0,0.0,0.0,0.0,0.081,0.3666666666666666,0.2416666666666667,0.6666666666666666,0.8,0.0,0.5051903114186852,0.25,1.0,Startup,Web Developer,0.3140693825813498,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.28
S11,CPE,0.0,0.0,0.0,1.0,0.017,0.5166666666666665,0.2266666666666666,0.3333333333333333,0.6000000000000001,0.6666666666666666,0.3788927335640139,0.25,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.72
S12,CS,1.0,1.0,0.0,0.0,0.696,0.2333333333333334,0.175,1.0,0.6000000000000001,0.0,0.5804498269896193,0.5,1.0,Mid-size,Analyst,0.5797728482509319,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.65
S13,CS,0.0,1.0,1.0,1.0,0.78,0.65,0.0833333333333333,0.0,1.0000000000000002,0.0,0.5882352941176471,0.75,1.0,MNC,Web Developer,0.7172989339817128,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.64
